Date : 2020-10-23 09:25:09
Directory : d:\Develop\AutoChess-Simulator
Total : 283 files,  21029 codes, 333 comments, 446 blanks, all 21808 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\Develop\AutoChess-Simulator\static\vant\picker-column\index.wxs        | XML        |          7 |          0 |          2 |          9 |
| d:\Develop\AutoChess-Simulator\static\vant\picker\index.d.ts              | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\picker\index.js                | JavaScript |        124 |         11 |          1 |        136 |
| d:\Develop\AutoChess-Simulator\static\vant\picker\index.json              | JSON       |          7 |          0 |          1 |          8 |
| d:\Develop\AutoChess-Simulator\static\vant\picker\shared.d.ts             | TypeScript |         21 |          0 |          1 |         22 |
| d:\Develop\AutoChess-Simulator\static\vant\picker\shared.js               | JavaScript |         21 |          0 |          1 |         22 |
| d:\Develop\AutoChess-Simulator\static\vant\popup\index.d.ts               | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\popup\index.js                 | JavaScript |         80 |          0 |          1 |         81 |
| d:\Develop\AutoChess-Simulator\static\vant\popup\index.json               | JSON       |          7 |          0 |          1 |          8 |
| d:\Develop\AutoChess-Simulator\static\vant\progress\index.d.ts            | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\progress\index.js              | JavaScript |         27 |          0 |          1 |         28 |
| d:\Develop\AutoChess-Simulator\static\vant\progress\index.json            | JSON       |          3 |          0 |          1 |          4 |
| d:\Develop\AutoChess-Simulator\static\vant\progress\index.wxs             | XML        |          5 |          0 |          1 |          6 |
| d:\Develop\AutoChess-Simulator\static\vant\radio-group\index.d.ts         | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\radio-group\index.js           | JavaScript |         38 |          0 |          1 |         39 |
| d:\Develop\AutoChess-Simulator\static\vant\radio-group\index.json         | JSON       |          3 |          0 |          1 |          4 |
| d:\Develop\AutoChess-Simulator\static\vant\radio\index.d.ts               | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\radio\index.js                 | JavaScript |         52 |          0 |          1 |         53 |
| d:\Develop\AutoChess-Simulator\static\vant\radio\index.json               | JSON       |          6 |          0 |          1 |          7 |
| d:\Develop\AutoChess-Simulator\static\vant\rate\index.d.ts                | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\rate\index.js                  | JavaScript |         76 |          0 |          1 |         77 |
| d:\Develop\AutoChess-Simulator\static\vant\rate\index.json                | JSON       |          6 |          0 |          1 |          7 |
| d:\Develop\AutoChess-Simulator\static\vant\row\index.d.ts                 | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\row\index.js                   | JavaScript |         36 |          0 |          1 |         37 |
| d:\Develop\AutoChess-Simulator\static\vant\row\index.json                 | JSON       |          3 |          0 |          1 |          4 |
| d:\Develop\AutoChess-Simulator\static\vant\search\index.d.ts              | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\search\index.js                | JavaScript |         69 |          4 |          1 |         74 |
| d:\Develop\AutoChess-Simulator\static\vant\search\index.json              | JSON       |          6 |          0 |          1 |          7 |
| d:\Develop\AutoChess-Simulator\static\vant\sidebar-item\index.d.ts        | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\sidebar-item\index.js          | JavaScript |         36 |          0 |          1 |         37 |
| d:\Develop\AutoChess-Simulator\static\vant\sidebar-item\index.json        | JSON       |          6 |          0 |          1 |          7 |
| d:\Develop\AutoChess-Simulator\static\vant\sidebar\index.d.ts             | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\sidebar\index.js               | JavaScript |         43 |          0 |          1 |         44 |
| d:\Develop\AutoChess-Simulator\static\vant\sidebar\index.json             | JSON       |          3 |          0 |          1 |          4 |
| d:\Develop\AutoChess-Simulator\static\vant\skeleton\index.d.ts            | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\skeleton\index.js              | JavaScript |         42 |          0 |          1 |         43 |
| d:\Develop\AutoChess-Simulator\static\vant\skeleton\index.json            | JSON       |          4 |          0 |          0 |          4 |
| d:\Develop\AutoChess-Simulator\static\vant\slider\index.d.ts              | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\slider\index.js                | JavaScript |        105 |          0 |          1 |        106 |
| d:\Develop\AutoChess-Simulator\static\vant\slider\index.json              | JSON       |          3 |          0 |          1 |          4 |
| d:\Develop\AutoChess-Simulator\static\vant\stepper\index.d.ts             | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\stepper\index.js               | JavaScript |        182 |          4 |          1 |        187 |
| d:\Develop\AutoChess-Simulator\static\vant\stepper\index.json             | JSON       |          3 |          0 |          0 |          3 |
| d:\Develop\AutoChess-Simulator\static\vant\steps\index.d.ts               | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\steps\index.js                 | JavaScript |         27 |          0 |          1 |         28 |
| d:\Develop\AutoChess-Simulator\static\vant\steps\index.json               | JSON       |          6 |          0 |          1 |          7 |
| d:\Develop\AutoChess-Simulator\static\vant\sticky\index.d.ts              | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\sticky\index.js                | JavaScript |        122 |          0 |          1 |        123 |
| d:\Develop\AutoChess-Simulator\static\vant\sticky\index.json              | JSON       |          3 |          0 |          1 |          4 |
| d:\Develop\AutoChess-Simulator\static\vant\sticky\index.wxs               | XML        |         17 |          0 |          5 |         22 |
| d:\Develop\AutoChess-Simulator\static\vant\submit-bar\index.d.ts          | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\submit-bar\index.js            | JavaScript |         57 |          0 |          1 |         58 |
| d:\Develop\AutoChess-Simulator\static\vant\submit-bar\index.json          | JSON       |          7 |          0 |          1 |          8 |
| d:\Develop\AutoChess-Simulator\static\vant\swipe-cell\index.d.ts          | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\swipe-cell\index.js            | JavaScript |        132 |          0 |          1 |        133 |
| d:\Develop\AutoChess-Simulator\static\vant\swipe-cell\index.json          | JSON       |          3 |          0 |          1 |          4 |
| d:\Develop\AutoChess-Simulator\static\vant\switch\index.d.ts              | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\switch\index.js                | JavaScript |         51 |          0 |          1 |         52 |
| d:\Develop\AutoChess-Simulator\static\vant\switch\index.json              | JSON       |          6 |          0 |          1 |          7 |
| d:\Develop\AutoChess-Simulator\static\vant\tab\index.d.ts                 | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\tab\index.js                   | JavaScript |         64 |          0 |          1 |         65 |
| d:\Develop\AutoChess-Simulator\static\vant\tab\index.json                 | JSON       |          3 |          0 |          0 |          3 |
| d:\Develop\AutoChess-Simulator\static\vant\tabbar-item\index.d.ts         | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\tabbar-item\index.js           | JavaScript |         47 |          0 |          1 |         48 |
| d:\Develop\AutoChess-Simulator\static\vant\tabbar-item\index.json         | JSON       |          7 |          0 |          1 |          8 |
| d:\Develop\AutoChess-Simulator\static\vant\tabbar\index.d.ts              | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\tabbar\index.js                | JavaScript |         65 |          0 |          1 |         66 |
| d:\Develop\AutoChess-Simulator\static\vant\tabbar\index.json              | JSON       |          3 |          0 |          1 |          4 |
| d:\Develop\AutoChess-Simulator\static\vant\tabs\index.d.ts                | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\tabs\index.js                  | JavaScript |        270 |          3 |          1 |        274 |
| d:\Develop\AutoChess-Simulator\static\vant\tabs\index.json                | JSON       |          7 |          0 |          1 |          8 |
| d:\Develop\AutoChess-Simulator\static\vant\tabs\index.wxs                 | XML        |         57 |          0 |         12 |         69 |
| d:\Develop\AutoChess-Simulator\static\vant\tag\index.d.ts                 | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\tag\index.js                   | JavaScript |         21 |          0 |          1 |         22 |
| d:\Develop\AutoChess-Simulator\static\vant\tag\index.json                 | JSON       |          6 |          0 |          1 |          7 |
| d:\Develop\AutoChess-Simulator\static\vant\toast\index.d.ts               | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\toast\index.js                 | JavaScript |         28 |          1 |          1 |         30 |
| d:\Develop\AutoChess-Simulator\static\vant\toast\index.json               | JSON       |          9 |          0 |          1 |         10 |
| d:\Develop\AutoChess-Simulator\static\vant\toast\toast.d.ts               | TypeScript |         25 |          1 |          1 |         27 |
| d:\Develop\AutoChess-Simulator\static\vant\toast\toast.js                 | JavaScript |         66 |          0 |          1 |         67 |
| d:\Develop\AutoChess-Simulator\static\vant\transition\index.d.ts          | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\transition\index.js            | JavaScript |         13 |          0 |          1 |         14 |
| d:\Develop\AutoChess-Simulator\static\vant\transition\index.json          | JSON       |          3 |          0 |          0 |          3 |
| d:\Develop\AutoChess-Simulator\static\vant\tree-select\index.d.ts         | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\tree-select\index.js           | JavaScript |         59 |          5 |          1 |         65 |
| d:\Develop\AutoChess-Simulator\static\vant\tree-select\index.json         | JSON       |          8 |          0 |          1 |          9 |
| d:\Develop\AutoChess-Simulator\static\vant\tree-select\index.wxs          | XML        |          9 |          0 |          4 |         13 |
| d:\Develop\AutoChess-Simulator\static\vant\uploader\index.d.ts            | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\uploader\index.js              | JavaScript |        182 |          4 |          1 |        187 |
| d:\Develop\AutoChess-Simulator\static\vant\uploader\index.json            | JSON       |          6 |          0 |          1 |          7 |
| d:\Develop\AutoChess-Simulator\static\vant\uploader\utils.d.ts            | TypeScript |         13 |          1 |          1 |         15 |
| d:\Develop\AutoChess-Simulator\static\vant\uploader\utils.js              | JavaScript |         19 |          0 |          1 |         20 |
| d:\Develop\AutoChess-Simulator\static\vant\wxs\add-unit.wxs               | XML        |         11 |          0 |          4 |         15 |
| d:\Develop\AutoChess-Simulator\static\vant\wxs\array.wxs                  | XML        |          4 |          0 |          2 |          6 |
| d:\Develop\AutoChess-Simulator\static\vant\wxs\bem.wxs                    | XML        |         33 |          0 |          6 |         39 |
| d:\Develop\AutoChess-Simulator\static\vant\wxs\memoize.wxs                | XML        |         45 |          0 |         10 |         55 |
| d:\Develop\AutoChess-Simulator\static\vant\wxs\object.wxs                 | XML        |         11 |          0 |          3 |         14 |
| d:\Develop\AutoChess-Simulator\static\vant\wxs\utils.wxs                  | XML        |          9 |          0 |          2 |         11 |
| Total                                                                     |            |     21,029 |        333 |        446 |     21,808 |
+---------------------------------------------------------------------------+------------+------------+------------+------------+------------+
